Rank 1: 	['Ice', 'Fighting', 'Ground']       83.33%	Highest for 3 types.
Rank 430: 	['Fire', 'Electric', 'Flying']      69.44%	
Rank 431: 	['Electric', 'Dark', 'Steel']       69.44%	
Rank 432: 	['Grass', 'Bug', 'Steel']           69.44%	
Rank 433: 	['Fighting', 'Ghost', 'Dark']       69.44%	
Rank 434: 	['Fighting', 'Dragon', 'Steel']     69.44%	
Rank 435: 	['Normal', 'Fighting', 'Ghost']     69.44%	
Rank 436: 	['Normal', 'Ground', 'Ghost']       69.44%	
Rank 437: 	['Normal', 'Ground', 'Steel']       69.44%	
Rank 438: 	['Water', 'Poison', 'Dark']         69.44%	
Rank 439: 	['Electric', 'Poison', 'Fairy']     69.44%	
Rank 440: 	['Electric', 'Flying', 'Fairy']     69.44%	
Rank 441: 	['Fighting', 'Poison', 'Steel']     69.44%	
Rank 442: 	['Fire', 'Dragon', 'Fairy']         69.44%	
Rank 443: 	['Water', 'Psychic', 'Steel']       69.44%	
Rank 444: 	['Electric', 'Flying', 'Ghost']     69.44%	
Rank 445: 	['Grass', 'Dark', 'Steel']          69.44%	
Rank 446: 	['Ground', 'Ghost', 'Dark']         69.44%	
Rank 447: 	['Psychic', 'Ghost', 'Steel']       69.44%	
Rank 448: 	['Fire', 'Poison', 'Dark']          69.44%	
Rank 449: 	['Fire', 'Flying', 'Dark']          69.44%	
Rank 450: 	['Water', 'Electric', 'Poison']     69.44%	
Rank 451: 	['Water', 'Electric', 'Ghost']      69.44%	
Rank 452: 	['Water', 'Poison', 'Flying']       69.44%	
Rank 453: 	['Electric', 'Flying', 'Dark']      69.44%	
Rank 454: 	['Electric', 'Psychic', 'Steel']    69.44%	
Rank 455: 	['Electric', 'Rock', 'Steel']       69.44%	
Rank 456: 	['Electric', 'Dark', 'Fairy']       69.44%	
Rank 457: 	['Grass', 'Ice', 'Steel']           69.44%	
Rank 458: 	['Poison', 'Ghost', 'Fairy']        69.44%	
Rank 459: 	['Normal', 'Fire', 'Fairy']         69.44%	
Rank 460: 	['Fire', 'Flying', 'Fairy']         69.44%	
Rank 461: 	['Psychic', 'Dark', 'Steel']        69.44%	
Rank 462: 	['Fire', 'Electric', 'Poison']      69.44%	
Rank 463: 	['Fire', 'Flying', 'Ghost']         69.44%	
Rank 464: 	['Fire', 'Ghost', 'Dragon']         69.44%	
Rank 465: 	['Water', 'Grass', 'Fairy']         69.44%	
Rank 466: 	['Water', 'Poison', 'Ghost']        69.44%	
Rank 467: 	['Water', 'Rock', 'Steel']          69.44%	
Rank 468: 	['Electric', 'Flying', 'Rock']      69.44%	
Rank 469: 	['Electric', 'Bug', 'Fairy']        69.44%	
Rank 470: 	['Flying', 'Ghost', 'Fairy']        69.44%	
Rank 471: 	['Normal', 'Fire', 'Water']         69.44%	
Rank 472: 	['Normal', 'Poison', 'Ground']      69.44%	
Rank 473: 	['Fire', 'Electric', 'Dragon']      69.44%	
Rank 474: 	['Fire', 'Flying', 'Rock']          69.44%	
Rank 475: 	['Normal', 'Fighting', 'Psychic']   69.44%	
Rank 476: 	['Fire', 'Bug', 'Dark']             69.44%	
Rank 477: 	['Electric', 'Grass', 'Fairy']      69.44%	
Rank 478: 	['Electric', 'Ice', 'Flying']       69.44%	
Rank 479: 	['Electric', 'Flying', 'Bug']       69.44%	
Rank 480: 	['Fire', 'Poison', 'Ghost']         69.44%	
Rank 481: 	['Fire', 'Flying', 'Bug']           69.44%	
Rank 482: 	['Fire', 'Bug', 'Ghost']            69.44%	
Rank 483: 	['Water', 'Poison', 'Bug']          69.44%	
Rank 484: 	['Water', 'Ground', 'Dragon']       69.44%	
Rank 485: 	['Water', 'Psychic', 'Fairy']       69.44%	
Rank 486: 	['Water', 'Bug', 'Ghost']           69.44%	
Rank 487: 	['Grass', 'Poison', 'Dark']         69.44%	
Rank 488: 	['Flying', 'Dark', 'Fairy']         69.44%	
Rank 489: 	['Normal', 'Fire', 'Grass']         69.44%	
Rank 490: 	['Normal', 'Electric', 'Fighting']  69.44%	
Rank 491: 	['Normal', 'Fighting', 'Dark']      69.44%	
Rank 492: 	['Normal', 'Fighting', 'Fairy']     69.44%	
Rank 493: 	['Fire', 'Poison', 'Rock']          69.44%	
Rank 494: 	['Fire', 'Bug', 'Dragon']           69.44%	
Rank 495: 	['Fire', 'Dragon', 'Dark']          69.44%	
Rank 496: 	['Water', 'Electric', 'Dark']       69.44%	
Rank 497: 	['Water', 'Poison', 'Psychic']      69.44%	
Rank 498: 	['Water', 'Flying', 'Dragon']       69.44%	
Rank 499: 	['Water', 'Psychic', 'Ghost']       69.44%	
Rank 500: 	['Electric', 'Ice', 'Ghost']        69.44%	
Rank 501: 	['Electric', 'Rock', 'Ghost']       69.44%	
Rank 502: 	['Normal', 'Fire', 'Fighting']      69.44%	
Rank 503: 	['Normal', 'Electric', 'Ground']    69.44%	
Rank 504: 	['Fire', 'Electric', 'Rock']        69.44%	
Rank 505: 	['Water', 'Electric', 'Rock']       69.44%	
Rank 506: 	['Water', 'Ground', 'Psychic']      69.44%	
Rank 507: 	['Water', 'Flying', 'Psychic']      69.44%	
Rank 508: 	['Water', 'Bug', 'Dragon']          69.44%	
Rank 509: 	['Electric', 'Grass', 'Flying']     69.44%	
Rank 510: 	['Grass', 'Poison', 'Ghost']        69.44%	
Rank 511: 	['Fighting', 'Poison', 'Bug']       69.44%	
Rank 512: 	['Fire', 'Poison', 'Bug']           69.44%	
Rank 513: 	['Fire', 'Poison', 'Psychic']       69.44%	
Rank 514: 	['Water', 'Grass', 'Rock']          69.44%	
Rank 515: 	['Water', 'Ice', 'Poison']          69.44%	
Rank 516: 	['Water', 'Bug', 'Dark']            69.44%	
Rank 517: 	['Grass', 'Poison', 'Fairy']        69.44%	
Rank 518: 	['Fire', 'Psychic', 'Dragon']       69.44%	
Rank 519: 	['Water', 'Electric', 'Ice']        69.44%	
Rank 520: 	['Water', 'Electric', 'Psychic']    69.44%	
Rank 521: 	['Water', 'Grass', 'Flying']        69.44%	
Rank 522: 	['Water', 'Psychic', 'Dark']        69.44%	
Rank 523: 	['Electric', 'Ice', 'Bug']          69.44%	
Rank 524: 	['Electric', 'Ice', 'Fairy']        69.44%	
Rank 525: 	['Ice', 'Poison', 'Dark']           69.44%	
Rank 526: 	['Fighting', 'Dragon', 'Fairy']     69.44%	
Rank 527: 	['Normal', 'Fire', 'Ice']           69.44%	
Rank 528: 	['Normal', 'Water', 'Fighting']     69.44%	
Rank 529: 	['Normal', 'Ground', 'Dark']        69.44%	
Rank 530: 	['Fire', 'Ice', 'Dragon']           69.44%	
Rank 531: 	['Electric', 'Grass', 'Rock']       69.44%	
Rank 532: 	['Ice', 'Poison', 'Ghost']          69.44%	
Rank 533: 	['Rock', 'Ghost', 'Dragon']         69.44%	
Rank 534: 	['Normal', 'Grass', 'Ground']       69.44%	
Rank 535: 	['Fire', 'Rock', 'Dragon']          69.44%	
Rank 536: 	['Water', 'Rock', 'Dragon']         69.44%	
Rank 537: 	['Electric', 'Psychic', 'Bug']      69.44%	
Rank 538: 	['Water', 'Grass', 'Bug']           69.44%	
Rank 539: 	['Grass', 'Bug', 'Ghost']           69.44%	
Rank 540: 	['Electric', 'Rock', 'Dark']        69.44%	
Rank 541: 	['Grass', 'Psychic', 'Ghost']       69.44%	
Rank 542: 	['Ice', 'Bug', 'Ghost']             69.44%	
Rank 543: 	['Electric', 'Grass', 'Bug']        69.44%	
Rank 544: 	['Electric', 'Ice', 'Dark']         69.44%	
Rank 545: 	['Ground', 'Psychic', 'Dragon']     69.44%	
Rank 546: 	['Electric', 'Psychic', 'Rock']     69.44%	
Rank 547: 	['Grass', 'Ice', 'Fairy']           69.44%	
Rank 548: 	['Grass', 'Psychic', 'Dark']        69.44%	
Rank 549: 	['Normal', 'Grass', 'Fighting']     69.44%	
Rank 550: 	['Water', 'Grass', 'Ice']           69.44%	
Rank 551: 	['Electric', 'Ice', 'Psychic']      69.44%	
Rank 552: 	['Rock', 'Dragon', 'Dark']          69.44%	
Rank 553: 	['Grass', 'Bug', 'Dark']            69.44%	
Rank 554: 	['Ice', 'Bug', 'Dark']              69.44%	
Rank 555: 	['Grass', 'Ice', 'Bug']             69.44%	
Rank 556: 	['Fire', 'Fairy']                   68.06%	
Rank 557: 	['Fighting', 'Dark']                68.06%	
Rank 558: 	['Electric', 'Ground']              68.06%	
Rank 559: 	['Fighting', 'Fairy']               68.06%	
Rank 560: 	['Rock', 'Fairy']                   68.06%	
Rank 561: 	['Fighting', 'Psychic']             68.06%	
Rank 562: 	['Grass', 'Rock']                   68.06%	
Rank 563: 	['Ice', 'Rock']                     68.06%	
Rank 564: 	['Flying', 'Dragon', 'Steel']       68.06%	
Rank 565: 	['Poison', 'Steel', 'Fairy']        68.06%	
Rank 566: 	['Bug', 'Dragon', 'Steel']          68.06%	
Rank 567: 	['Psychic', 'Steel', 'Fairy']       68.06%	
Rank 568: 	['Flying', 'Psychic', 'Steel']      68.06%	
Rank 569: 	['Poison', 'Rock', 'Steel']         68.06%	
Rank 570: 	['Rock', 'Dragon', 'Steel']         68.06%	
Rank 571: 	['Normal', 'Ice', 'Steel']          68.06%	
Rank 572: 	['Ice', 'Poison', 'Steel']          68.06%	
Rank 573: 	['Ice', 'Dragon', 'Steel']          68.06%	
Rank 574: 	['Grass', 'Psychic', 'Steel']       68.06%	
Rank 575: 	['Normal', 'Fighting', 'Poison']    68.06%	
Rank 576: 	['Electric', 'Poison', 'Rock']      68.06%	
Rank 577: 	['Rock', 'Dragon', 'Fairy']         68.06%	
Rank 578: 	['Water', 'Grass', 'Ground']        68.06%	
Rank 579: 	['Poison', 'Flying', 'Rock']        68.06%	
Rank 580: 	['Normal', 'Rock', 'Fairy']         68.06%	
Rank 581: 	['Normal', 'Fighting', 'Bug']       68.06%	
Rank 582: 	['Normal', 'Bug', 'Rock']           68.06%	
Rank 583: 	['Grass', 'Poison', 'Flying']       68.06%	
Rank 584: 	['Ice', 'Poison', 'Flying']         68.06%	
Rank 585: 	['Ice', 'Poison', 'Fairy']          68.06%	
Rank 586: 	['Flying', 'Rock', 'Dragon']        68.06%	
Rank 587: 	['Ice', 'Flying', 'Fairy']          68.06%	
Rank 588: 	['Poison', 'Rock', 'Dragon']        68.06%	
Rank 589: 	['Normal', 'Grass', 'Rock']         68.06%	
Rank 590: 	['Grass', 'Poison', 'Psychic']      68.06%	
Rank 591: 	['Grass', 'Flying', 'Dragon']       68.06%	
Rank 592: 	['Ice', 'Psychic', 'Fairy']         68.06%	
Rank 593: 	['Grass', 'Ice', 'Poison']          68.06%	
Rank 594: 	['Grass', 'Bug', 'Fairy']           68.06%	
Rank 595: 	['Ice', 'Poison', 'Bug']            68.06%	
Rank 596: 	['Flying', 'Psychic', 'Rock']       68.06%	
Rank 597: 	['Grass', 'Psychic', 'Fairy']       68.06%	
Rank 598: 	['Ice', 'Poison', 'Psychic']        68.06%	
Rank 599: 	['Ice', 'Flying', 'Psychic']        68.06%	
Rank 600: 	['Normal', 'Ice', 'Rock']           68.06%	
Rank 601: 	['Grass', 'Flying', 'Psychic']      68.06%	
Rank 602: 	['Ice', 'Rock', 'Dragon']           68.06%	
Rank 603: 	['Psychic', 'Rock', 'Dragon']       68.06%	
Rank 604: 	['Grass', 'Bug', 'Dragon']          68.06%	
Rank 605: 	['Fighting', 'Steel']               66.67%	
Rank 606: 	['Water', 'Flying']                 66.67%	
Rank 607: 	['Water', 'Fairy']                  66.67%	
Rank 608: 	['Fire', 'Water']                   66.67%	
Rank 609: 	['Fire', 'Ghost']                   66.67%	
Rank 610: 	['Fire', 'Dark']                    66.67%	
Rank 611: 	['Fire', 'Grass']                   66.67%	
Rank 612: 	['Water', 'Bug']                    66.67%	
Rank 613: 	['Fighting', 'Poison']              66.67%	
Rank 614: 	['Ground', 'Dragon']                66.67%	
Rank 615: 	['Ice', 'Ghost']                    66.67%	
Rank 616: 	['Bug', 'Rock']                     66.67%	
Rank 617: 	['Rock', 'Ghost']                   66.67%	
Rank 618: 	['Fire', 'Psychic']                 66.67%	
Rank 619: 	['Fire', 'Rock']                    66.67%	
Rank 620: 	['Water', 'Rock']                   66.67%	
Rank 621: 	['Fire', 'Ice']                     66.67%	
Rank 622: 	['Ground', 'Psychic']               66.67%	
Rank 623: 	['Ice', 'Dark']                     66.67%	
Rank 624: 	['Electric', 'Poison', 'Steel']     66.67%	
Rank 625: 	['Ghost', 'Dragon', 'Steel']        66.67%	
Rank 626: 	['Water', 'Poison', 'Steel']        66.67%	
Rank 627: 	['Water', 'Dragon', 'Steel']        66.67%	
Rank 628: 	['Fire', 'Poison', 'Steel']         66.67%	
Rank 629: 	['Water', 'Grass', 'Steel']         66.67%	
Rank 630: 	['Electric', 'Dragon', 'Steel']     66.67%	
Rank 631: 	['Normal', 'Fire', 'Steel']         66.67%	
Rank 632: 	['Poison', 'Dark', 'Steel']         66.67%	
Rank 633: 	['Fire', 'Ghost', 'Dark']           66.67%	
Rank 634: 	['Poison', 'Ghost', 'Steel']        66.67%	
Rank 635: 	['Normal', 'Fire', 'Ghost']         66.67%	
Rank 636: 	['Normal', 'Fighting', 'Steel']     66.67%	
Rank 637: 	['Electric', 'Grass', 'Steel']      66.67%	
Rank 638: 	['Electric', 'Poison', 'Dark']      66.67%	
Rank 639: 	['Dragon', 'Dark', 'Steel']         66.67%	
Rank 640: 	['Water', 'Dragon', 'Fairy']        66.67%	
Rank 641: 	['Electric', 'Poison', 'Flying']    66.67%	
Rank 642: 	['Poison', 'Flying', 'Dark']        66.67%	
Rank 643: 	['Normal', 'Water', 'Ground']       66.67%	
Rank 644: 	['Normal', 'Water', 'Flying']       66.67%	
Rank 645: 	['Normal', 'Water', 'Fairy']        66.67%	
Rank 646: 	['Water', 'Grass', 'Ghost']         66.67%	
Rank 647: 	['Water', 'Ghost', 'Dragon']        66.67%	
Rank 648: 	['Electric', 'Poison', 'Ghost']     66.67%	
Rank 649: 	['Normal', 'Ice', 'Ghost']          66.67%	
Rank 650: 	['Fire', 'Flying', 'Dragon']        66.67%	
Rank 651: 	['Water', 'Grass', 'Poison']        66.67%	
Rank 652: 	['Water', 'Poison', 'Dragon']       66.67%	
Rank 653: 	['Poison', 'Psychic', 'Dark']       66.67%	
Rank 654: 	['Psychic', 'Ghost', 'Fairy']       66.67%	
Rank 655: 	['Normal', 'Rock', 'Ghost']         66.67%	
Rank 656: 	['Water', 'Electric', 'Dragon']     66.67%	
Rank 657: 	['Electric', 'Grass', 'Ghost']      66.67%	
Rank 658: 	['Electric', 'Psychic', 'Fairy']    66.67%	
Rank 659: 	['Electric', 'Bug', 'Ghost']        66.67%	
Rank 660: 	['Ice', 'Ghost', 'Dark']            66.67%	
Rank 661: 	['Normal', 'Fire', 'Electric']      66.67%	
Rank 662: 	['Normal', 'Fire', 'Bug']           66.67%	
Rank 663: 	['Normal', 'Water', 'Bug']          66.67%	
Rank 664: 	['Electric', 'Flying', 'Dragon']    66.67%	
Rank 665: 	['Electric', 'Psychic', 'Ghost']    66.67%	
Rank 666: 	['Poison', 'Flying', 'Ghost']       66.67%	
Rank 667: 	['Poison', 'Psychic', 'Ghost']      66.67%	
Rank 668: 	['Bug', 'Ghost', 'Fairy']           66.67%	
Rank 669: 	['Rock', 'Ghost', 'Dark']           66.67%	
Rank 670: 	['Normal', 'Fire', 'Psychic']       66.67%	
Rank 671: 	['Normal', 'Fire', 'Dark']          66.67%	
Rank 672: 	['Fire', 'Poison', 'Dragon']        66.67%	
Rank 673: 	['Electric', 'Poison', 'Bug']       66.67%	
Rank 674: 	['Electric', 'Poison', 'Psychic']   66.67%	
Rank 675: 	['Electric', 'Flying', 'Psychic']   66.67%	
Rank 676: 	['Water', 'Dragon', 'Dark']         66.67%	
Rank 677: 	['Electric', 'Grass', 'Poison']     66.67%	
Rank 678: 	['Electric', 'Bug', 'Dark']         66.67%	
Rank 679: 	['Flying', 'Ghost', 'Dragon']       66.67%	
Rank 680: 	['Flying', 'Dragon', 'Dark']        66.67%	
Rank 681: 	['Psychic', 'Dark', 'Fairy']        66.67%	
Rank 682: 	['Normal', 'Ground', 'Dragon']      66.67%	
Rank 683: 	['Fire', 'Flying', 'Psychic']       66.67%	
Rank 684: 	['Electric', 'Psychic', 'Dark']     66.67%	
Rank 685: 	['Electric', 'Bug', 'Dragon']       66.67%	
Rank 686: 	['Normal', 'Ground', 'Psychic']     66.67%	
Rank 687: 	['Flying', 'Psychic', 'Ghost']      66.67%	
Rank 688: 	['Bug', 'Dark', 'Fairy']            66.67%	
Rank 689: 	['Normal', 'Fire', 'Rock']          66.67%	
Rank 690: 	['Normal', 'Water', 'Rock']         66.67%	
Rank 691: 	['Electric', 'Ice', 'Poison']       66.67%	
Rank 692: 	['Grass', 'Ghost', 'Dragon']        66.67%	
Rank 693: 	['Ice', 'Ghost', 'Dragon']          66.67%	
Rank 694: 	['Flying', 'Psychic', 'Dark']       66.67%	
Rank 695: 	['Normal', 'Water', 'Ice']          66.67%	
Rank 696: 	['Water', 'Grass', 'Dark']          66.67%	
Rank 697: 	['Water', 'Ice', 'Dragon']          66.67%	
Rank 698: 	['Water', 'Psychic', 'Dragon']      66.67%	
Rank 699: 	['Electric', 'Rock', 'Dragon']      66.67%	
Rank 700: 	['Flying', 'Bug', 'Ghost']          66.67%	
Rank 701: 	['Flying', 'Bug', 'Dark']           66.67%	
Rank 702: 	['Psychic', 'Bug', 'Ghost']         66.67%	
Rank 703: 	['Normal', 'Fighting', 'Dragon']    66.67%	
Rank 704: 	['Electric', 'Grass', 'Dark']       66.67%	
Rank 705: 	['Water', 'Grass', 'Psychic']       66.67%	
Rank 706: 	['Grass', 'Poison', 'Bug']          66.67%	
Rank 707: 	['Psychic', 'Bug', 'Dark']          66.67%	
Rank 708: 	['Normal', 'Ice', 'Dark']           66.67%	
Rank 709: 	['Normal', 'Rock', 'Dark']          66.67%	
Rank 710: 	['Ice', 'Bug', 'Fairy']             66.67%	
Rank 711: 	['Electric', 'Grass', 'Ice']        66.67%	
Rank 712: 	['Electric', 'Grass', 'Psychic']    66.67%	
Rank 713: 	['Ice', 'Dragon', 'Dark']           66.67%	
Rank 714: 	['Grass', 'Dragon', 'Dark']         66.67%	
Rank 715: 	['Water', 'Ground']                 65.28%	
Rank 716: 	['Rock', 'Steel']                   65.28%	
Rank 717: 	['Ice', 'Steel']                    65.28%	
Rank 718: 	['Fire', 'Electric']                65.28%	
Rank 719: 	['Fire', 'Bug']                     65.28%	
Rank 720: 	['Flying', 'Rock']                  65.28%	
Rank 721: 	['Water', 'Ice']                    65.28%	
Rank 722: 	['Grass', 'Ground']                 65.28%	
Rank 723: 	['Ice', 'Flying']                   65.28%	
Rank 724: 	['Grass', 'Flying']                 65.28%	
Rank 725: 	['Fighting', 'Dragon']              65.28%	
Rank 726: 	['Grass', 'Fighting']               65.28%	
Rank 727: 	['Rock', 'Dark']                    65.28%	
Rank 728: 	['Ice', 'Psychic']                  65.28%	
Rank 729: 	['Psychic', 'Rock']                 65.28%	
Rank 730: 	['Dragon', 'Steel', 'Fairy']        65.28%	
Rank 731: 	['Poison', 'Flying', 'Steel']       65.28%	
Rank 732: 	['Normal', 'Flying', 'Steel']       65.28%	
Rank 733: 	['Normal', 'Steel', 'Fairy']        65.28%	
Rank 734: 	['Normal', 'Bug', 'Steel']          65.28%	
Rank 735: 	['Grass', 'Poison', 'Steel']        65.28%	
Rank 736: 	['Poison', 'Bug', 'Steel']          65.28%	
Rank 737: 	['Grass', 'Dragon', 'Steel']        65.28%	
Rank 738: 	['Psychic', 'Dragon', 'Steel']      65.28%	
Rank 739: 	['Normal', 'Rock', 'Steel']         65.28%	
Rank 740: 	['Poison', 'Psychic', 'Steel']      65.28%	
Rank 741: 	['Fire', 'Poison', 'Flying']        65.28%	
Rank 742: 	['Poison', 'Flying', 'Fairy']       65.28%	
Rank 743: 	['Poison', 'Psychic', 'Fairy']      65.28%	
Rank 744: 	['Normal', 'Grass', 'Fairy']        65.28%	
Rank 745: 	['Ice', 'Dragon', 'Fairy']          65.28%	
Rank 746: 	['Normal', 'Poison', 'Rock']        65.28%	
Rank 747: 	['Normal', 'Flying', 'Rock']        65.28%	
Rank 748: 	['Grass', 'Poison', 'Dragon']       65.28%	
Rank 749: 	['Grass', 'Dragon', 'Fairy']        65.28%	
Rank 750: 	['Flying', 'Psychic', 'Fairy']      65.28%	
Rank 751: 	['Normal', 'Grass', 'Flying']       65.28%	
Rank 752: 	['Normal', 'Ice', 'Fairy']          65.28%	
Rank 753: 	['Normal', 'Ice', 'Flying']         65.28%	
Rank 754: 	['Poison', 'Flying', 'Bug']         65.28%	
Rank 755: 	['Poison', 'Psychic', 'Bug']        65.28%	
Rank 756: 	['Ice', 'Flying', 'Dragon']         65.28%	
Rank 757: 	['Flying', 'Bug', 'Dragon']         65.28%	
Rank 758: 	['Flying', 'Bug', 'Fairy']          65.28%	
Rank 759: 	['Psychic', 'Bug', 'Fairy']         65.28%	
Rank 760: 	['Normal', 'Grass', 'Bug']          65.28%	
Rank 761: 	['Normal', 'Ice', 'Psychic']        65.28%	
Rank 762: 	['Normal', 'Ice', 'Bug']            65.28%	
Rank 763: 	['Normal', 'Psychic', 'Rock']       65.28%	
Rank 764: 	['Ice', 'Bug', 'Dragon']            65.28%	
Rank 765: 	['Flying', 'Psychic', 'Bug']        65.28%	
Rank 766: 	['Psychic', 'Bug', 'Dragon']        65.28%	
Rank 767: 	['Ice', 'Psychic', 'Dragon']        65.28%	
Rank 768: 	['Normal', 'Grass', 'Ice']          65.28%	
Rank 769: 	['Grass', 'Psychic', 'Dragon']      65.28%	
Rank 770: 	['Grass', 'Ice', 'Dragon']          65.28%	
Rank 771: 	['Flying', 'Steel']                 63.89%	
Rank 772: 	['Steel', 'Fairy']                  63.89%	
Rank 773: 	['Bug', 'Steel']                    63.89%	
Rank 774: 	['Ghost', 'Steel']                  63.89%	
Rank 775: 	['Fire', 'Steel']                   63.89%	
Rank 776: 	['Ghost', 'Fairy']                  63.89%	
Rank 777: 	['Dark', 'Steel']                   63.89%	
Rank 778: 	['Electric', 'Fairy']               63.89%	
Rank 779: 	['Water', 'Ghost']                  63.89%	
Rank 780: 	['Dark', 'Fairy']                   63.89%	
Rank 781: 	['Water', 'Poison']                 63.89%	
Rank 782: 	['Fire', 'Dragon']                  63.89%	
Rank 783: 	['Electric', 'Bug']                 63.89%	
Rank 784: 	['Flying', 'Ghost']                 63.89%	
Rank 785: 	['Flying', 'Dark']                  63.89%	
Rank 786: 	['Normal', 'Ground']                63.89%	
Rank 787: 	['Grass', 'Ghost']                  63.89%	
Rank 788: 	['Water', 'Dark']                   63.89%	
Rank 789: 	['Poison', 'Rock']                  63.89%	
Rank 790: 	['Ice', 'Fairy']                    63.89%	
Rank 791: 	['Water', 'Psychic']                63.89%	
Rank 792: 	['Electric', 'Ice']                 63.89%	
Rank 793: 	['Fighting', 'Bug']                 63.89%	
Rank 794: 	['Ice', 'Bug']                      63.89%	
Rank 795: 	['Grass', 'Dark']                   63.89%	
Rank 796: 	['Grass', 'Ice']                    63.89%	
Rank 797: 	['Normal', 'Ghost', 'Steel']        63.89%	
Rank 798: 	['Ghost', 'Dark', 'Steel']          63.89%	
Rank 799: 	['Normal', 'Ghost', 'Fairy']        63.89%	
Rank 800: 	['Ghost', 'Dark', 'Fairy']          63.89%	
Rank 801: 	['Normal', 'Water', 'Steel']        63.89%	
Rank 802: 	['Normal', 'Water', 'Ghost']        63.89%	
Rank 803: 	['Normal', 'Electric', 'Steel']     63.89%	
Rank 804: 	['Normal', 'Dark', 'Steel']         63.89%	
Rank 805: 	['Water', 'Ghost', 'Dark']          63.89%	
Rank 806: 	['Normal', 'Electric', 'Flying']    63.89%	
Rank 807: 	['Normal', 'Electric', 'Fairy']     63.89%	
Rank 808: 	['Normal', 'Flying', 'Ghost']       63.89%	
Rank 809: 	['Flying', 'Ghost', 'Dark']         63.89%	
Rank 810: 	['Ghost', 'Dragon', 'Fairy']        63.89%	
Rank 811: 	['Normal', 'Water', 'Poison']       63.89%	
Rank 812: 	['Normal', 'Grass', 'Ghost']        63.89%	
Rank 813: 	['Normal', 'Water', 'Electric']     63.89%	
Rank 814: 	['Normal', 'Electric', 'Bug']       63.89%	
Rank 815: 	['Electric', 'Dragon', 'Fairy']     63.89%	
Rank 816: 	['Poison', 'Bug', 'Dark']           63.89%	
Rank 817: 	['Normal', 'Dark', 'Fairy']         63.89%	
Rank 818: 	['Poison', 'Dragon', 'Dark']        63.89%	
Rank 819: 	['Dragon', 'Dark', 'Fairy']         63.89%	
Rank 820: 	['Normal', 'Fire', 'Dragon']        63.89%	
Rank 821: 	['Grass', 'Ghost', 'Dark']          63.89%	
Rank 822: 	['Electric', 'Poison', 'Dragon']    63.89%	
Rank 823: 	['Electric', 'Ghost', 'Dragon']     63.89%	
Rank 824: 	['Poison', 'Ghost', 'Dragon']       63.89%	
Rank 825: 	['Normal', 'Water', 'Psychic']      63.89%	
Rank 826: 	['Normal', 'Flying', 'Dark']        63.89%	
Rank 827: 	['Poison', 'Bug', 'Fairy']          63.89%	
Rank 828: 	['Poison', 'Bug', 'Ghost']          63.89%	
Rank 829: 	['Normal', 'Water', 'Dark']         63.89%	
Rank 830: 	['Normal', 'Electric', 'Rock']      63.89%	
Rank 831: 	['Psychic', 'Ghost', 'Dragon']      63.89%	
Rank 832: 	['Normal', 'Electric', 'Ice']       63.89%	
Rank 833: 	['Electric', 'Dragon', 'Dark']      63.89%	
Rank 834: 	['Bug', 'Ghost', 'Dragon']          63.89%	
Rank 835: 	['Psychic', 'Dragon', 'Dark']       63.89%	
Rank 836: 	['Electric', 'Grass', 'Dragon']     63.89%	
Rank 837: 	['Electric', 'Ice', 'Dragon']       63.89%	
Rank 838: 	['Water', 'Grass', 'Dragon']        63.89%	
Rank 839: 	['Electric', 'Psychic', 'Dragon']   63.89%	
Rank 840: 	['Normal', 'Grass', 'Dark']         63.89%	
Rank 841: 	['Water', 'Steel']                  62.5%	
Rank 842: 	['Electric', 'Steel']               62.5%	
Rank 843: 	['Electric', 'Flying']              62.5%	
Rank 844: 	['Psychic', 'Steel']                62.5%	
Rank 845: 	['Fire', 'Flying']                  62.5%	
Rank 846: 	['Fire', 'Poison']                  62.5%	
Rank 847: 	['Flying', 'Fairy']                 62.5%	
Rank 848: 	['Electric', 'Rock']                62.5%	
Rank 849: 	['Grass', 'Fairy']                  62.5%	
Rank 850: 	['Flying', 'Bug']                   62.5%	
Rank 851: 	['Ice', 'Poison']                   62.5%	
Rank 852: 	['Rock', 'Dragon']                  62.5%	
Rank 853: 	['Psychic', 'Bug']                  62.5%	
Rank 854: 	['Grass', 'Psychic']                62.5%	
Rank 855: 	['Poison', 'Dragon', 'Steel']       62.5%	
Rank 856: 	['Normal', 'Grass', 'Steel']        62.5%	
Rank 857: 	['Normal', 'Psychic', 'Steel']      62.5%	
Rank 858: 	['Normal', 'Poison', 'Fairy']       62.5%	
Rank 859: 	['Normal', 'Fire', 'Flying']        62.5%	
Rank 860: 	['Poison', 'Dragon', 'Fairy']       62.5%	
Rank 861: 	['Normal', 'Fire', 'Poison']        62.5%	
Rank 862: 	['Normal', 'Flying', 'Fairy']       62.5%	
Rank 863: 	['Poison', 'Flying', 'Dragon']      62.5%	
Rank 864: 	['Flying', 'Dragon', 'Fairy']       62.5%	
Rank 865: 	['Normal', 'Grass', 'Poison']       62.5%	
Rank 866: 	['Normal', 'Bug', 'Fairy']          62.5%	
Rank 867: 	['Poison', 'Flying', 'Psychic']     62.5%	
Rank 868: 	['Bug', 'Dragon', 'Fairy']          62.5%	
Rank 869: 	['Normal', 'Flying', 'Bug']         62.5%	
Rank 870: 	['Poison', 'Psychic', 'Dragon']     62.5%	
